"","x"
"11","I am using this laptop for 2.5yr. Still didn't face any issue. Till now battery backup is extremely satisfying.Those who are fond of programming and use any IDE like Android studio or eclipse, this is the one for them for not so high price.Cons.1. There is no Ethernet port which create some problem while using the laptop for configuring any device like Telecom MUX ect.2. As we are all habituated with MS Office, even though apple has it's own office, it doesn't impress you at all. Remedy, you can buy genuine office from Microsoft or you can use open office here."
"12","Almost an year now. Works perfectly well, easily manages Photoshop and Premiere Pro without any lags. Ultra light and best trackpad I've ever came across over years!"
"13","Apple. My last product i will ever buy. No apples for me now. Uaing it for 3 years and the display has gone to visit the Mt. Everest. Never had problems with any of the laptops bfr."
"14","Within one year my Mac book air wodn't turn on, then I want Mac book service center they said water damaged we can't cover your laptop in warranty period . They asked me 50k INR I said give me my laptop back then after some days I tried some online commands I it's start working ... So way they asked me 50k I don't know . Now after two years it's again not working.                                                       P.when('review-image-binder', 'reviewsLightbox-js').execute(function(reviewImageBinder) {             reviewImageBinder.bindReview(""R25I64BPMYLMT6"",                 ""R25I64BPMYLMT6_imageSection_main"",                 ""R25I64BPMYLMT6_gallerySection_main"");         });"
"15","Awesome Product.Battery is amazing in just within 2hours it charges upto around 90℅. For around 10hours it was in wifi just downloading couple of movies, after 10 hours the battery was still 21℅.Amazing performance... very slim and sleek.Little pricey but you will not regret it."
"16","I bought this in Feb-17 and this was not my daily driver. I was using this for casual surfing, media, etc. I guess, I haven't used this for more than 1000 hours (2-3 months) as well. Single handed use, very careful, no travelling at all.I bought this aiming that I won't have to worry for next 5-6 years at least. Apple is fooling and looting people. Even the inspection charges are around Rs. 2-3K, in which they will just diagnose it. No repair will be done."
"17","Good quality but had issues in laptop when was out of warranty period. So it's recommended to for extended warranty but it will cost you additional 18k. So calculate your budget accordingly."
"18","Its a delight to work on. Coming from a X owner of Surface it means something.Pros - Light, Herculean Battery Life , Great performance , will pretty much juggle whatever you throw at it.Con - Display could have been crisp, Comes without a pouch or bagMac is loved for a reason & Air is just amazing. Its sleekness will draw immediate attention"
"19","Been working solidly for more than 3 years now, absolutely no complaints whatsoever so far. I've since purchased an iPad too, and trust me when I say, Apple products are a world apart."
"20","Awesome laptop even gaming is also good i am playing WOT it works perfectly.battery is great giving 6hrs got it at 57000® at sale 👍"
"21","I bought it during GST time at 55k. now I m a fan of apple. though it's not convenient for Sanskrit or Devanagari. I am still using windows in mac. so I get the advantages of mac machine and ease of windows.I must suggest buying the hardcover for the same"
"22","I have purchased Apple Imac from Amazon last year. My Imac is having a problem and While trying to check the validity of the Warranty, Apple Website shows the serial number of the delivered item is not valid. Refer attached screenshot. Please check and revert urgently.                                                       P.when('review-image-binder', 'reviewsLightbox-js').execute(function(reviewImageBinder) {             reviewImageBinder.bindReview(""R3TRBPYJCFVXTI"",                 ""R3TRBPYJCFVXTI_imageSection_main"",                 ""R3TRBPYJCFVXTI_gallerySection_main"");         });"
"23","It is not as good as the one you buy from Physical store but still it is better than other Brands. I purchase one from Physical Shop and one from Amazon, the one with Amazon has less Battery Back up than the other else other part is fine."
"24","A very beautiful and a great product, no doubts there. Very fast and very appealing crisp display. Battery works for 7 to 8 hours and not 12 hours as indicated. Big dampener is that, after a point of angle, the screen falls back on its own to the end point of swivel allowed for the screen. Not good for a premium product."
"25","Good product, just like any apple. Made to last and high quality. Maybe the only thing i would want is for them to have a higher spec currently i5 intel core processor from 2015, should have the latest ones as well."
"26","perfect for everything, love it                                                       P.when('review-image-binder', 'reviewsLightbox-js').execute(function(reviewImageBinder) {             reviewImageBinder.bindReview(""R3OREZMCQ681AF"",                 ""R3OREZMCQ681AF_imageSection_main"",                 ""R3OREZMCQ681AF_gallerySection_main"");         });"
"27","I bought this online, and it worked well for 2 years. When this day (17.4.18) the screen crashed, I took it to a repair centre they told be that the screws inside were cracked. It had never been opened before this. I will urge you to buy these from a shop only."
"28","Very bad customer service not recommended to buy any apple products they ask me 55000 to fix one issue which other service center did in 5000 won't buy apple products from now"
"29","Being an Engineering student, I was worried about whether it would run various applications and games before buying it but after I bought it, it was so handy and comfortable that never felt the difference. It doesn't run every Windows application but still does many things better"
"30","Amazing and fullfilled all the expectations.So guys look the storage u need , then proceed,It has company warranty also."
"31","There is a crack on the screen of the laptop, which has appeared on its own as there is no physical damage to the laptop. The same was shown by my daughter at Apple Service Centre at Andheri Mumbai, who have refused to help. Please guide in the matter."
"32","As all others Apple product this product is also awesome very fast speed processing. I am a programmer and I have been using this with different softwares installed in this. I would definitely recommend this to all others."
"33","Best thing to buy... Now the price is best.... Hardware is still expensive for the price but os X compensate for it.... Also installed win 10 on it all well VT it....."
"34","Don't buy this one, that display will hurt you eyes"
"35","A cool laptop with awesome battery backup and sleek design. Processing power is a plus point but when it comes to storage you need to be choosy on the files you want to store. The 5gb free cloud storage is expandable through a yearly subscription (paid)."
"36","Awesome Product.. Awesome speakers.. super light weight.. perfect for web streaming and media streaming... super portable and awesome built quality.. got the product at amazon for merely 55000/- which is super cheap.. good value for money.. super recommend this product"
"37","it's kind of enchanted if we talks of look and design  as far as performance is concerned it's a heads down over my old 12&#34; macbook even though at 1.2 ghz but could manage to run around 13 hours after single charge which is cool and makes it go to use as portable mac!!!"
"38","I bought this item on last year June. I never do heavy use of this laptop as weekly 3 times I use it. Paying such huge amount for online purchase, I see horizontal lines on the laptop screen when I try to shutdown. I really feel sad that Amazon sell such third grade product online."
"39","If you a developer and thinking whether it is worth buying it, I suggest you to go for it. It can seamlessly handle Android Studio, Adobe Photoshop, Adobe Illustrator along with tons of  tabs open in Chrome 😍😍"
"40","The display had been flickering for 4-5 days and now the laptop is not switching on! It's not even been two months since I purchased and I've got this problem. I'd like to exchange or replace the order under my warranty. Do give me a reply."
"41","Laptop is very good. But amazon delivery messed up the issue. Delivered some speaker set against 5700/- prepaid amount. got to fight to the macbook"
"42","Battery is too good, i was not expecting that i will on this device for 9 hrs without charging and Processor and sound quality is amazing."
"43","With in 1 month motherboard turn out to be faulty. They replaced it as it was within warranty period. After 3 years, again motherboard went down. This time no replacement and Macbook Air became dead. Please dont buy it."
"44","I wish I had switched to Mac long ago, its so awesome. Apple devices are expensive but they give a great performance. Loving it so much."
"45","I am using the Apple MacBook Air since last 2.5 years. And there is not a single issue with this. This is best Laptop in 60000rs range. Thx to Apple/Amazon."
"46","It is obviously a good product in the market.I faced once a major problem, it suddenly stopped working.There was an issue with the motherboardBut that was covered under the warranty.Check the seller ratings before buying"
"47","Hardware issue after a year of very minimal usage. Checked in iStore and they said the logic board has to be replaced for a cost that's almost close to a new MacBook Air. So buyers be aware..!!"
"48","It’s a awesome machine, and used  almost 1.5 yrs ... wow 😮 wow wow... For developer it’s stunning machine,android studio,eclipse,Apache tomcat,Xcode ,MySQL"
"49","as expected of an apple macbook, the performance is excellent. lightweight and compact. Good battery backup and quick to boot up as it has an SSD. value for the money spent."
"50","It's been almost a year since I've bought this laptop. I have verified from the apple company as well. It's original and works properly. Its the best. One must buy without any hesitation."
